business_id,name,city,state,review_count,stars
QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,Mississauga,ON,128,2.5
gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,Charlotte,NC,170,4.0
1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,Phoenix,AZ,18,3.0
fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,Mentor-on-the-Lake,OH,16,4.0
PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,Las Vegas,NV,40,4.0
1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,Pittsburgh,PA,35,4.0
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,Las Vegas,NV,184,4.5
NDuUMJfrWk52RA-H-OtrpA,Bolt Fresh Bar,Toronto,ON,57,3.0
SP_YXIEwkFPPl_9anCYmpQ,The Steady Cafe & Bar,Toronto,ON,29,3.5
BvYU3jvGd0TJ7IyZdfiN2Q,Manzetti's Tavern,Charlotte,NC,16,3.5
e_EMySqP0uwlVZfd8mRaaQ,Pearl Garden,Calgary,AB,4,2.0
mlHC2XcU9Bows6cnYEmRgg,Mad Crush Wine Bar,Toronto,ON,9,4.0
_J_x_RaYTqAqAuCwgRhnRQ,Kabob House,Charlotte,NC,15,3.0
6l00a9Gkxkcp_y-GPjYBiw,J's Fish & Chips,Newmarket,ON,12,4.5
dQj5DLZjeDK3KFysh1SYOQ,Apteka,Pittsburgh,PA,242,4.5
9UTpmQ4OhX5jNFUIu7dPPQ,Buk Chang Dong Soon Tofu,Mississauga,ON,103,4.0
v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,Pittsburgh,PA,106,4.5
kANF0dbeoW34s2vwh6Umfw,Dairy Queen,Las Vegas,NV,33,2.0
KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,West Mifflin,PA,5,3.0
44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,Phoenix,AZ,269,3.5
PkDghu4aan2_wxrhXjTEgg,MiraKuru,Calgary,AB,16,3.5
eXgDqKD7-sojyzh6q7PJ4g,The Sweet Gallery,Etobicoke,ON,20,4.0
i_oghUPqLzzJtxC6Zm-D2A,Braseiro,Montr̩al,QC,22,4.0
RFbMVekR8lU9tPJ8sWrwHg,Tavolino,Toronto,ON,18,4.0
SWX0K1dpy4fcRq-ktZxmCg,Bistro des Moulins,Montr̩al,QC,3,3.5
NPHZkn1e-tSJAbo8Zm9rYw,Burrito Bandidos,Toronto,ON,43,3.5
jtlAfuINMCYVFpjwMgy2jw,Medium Rare,Toronto,ON,22,4.0
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,Las Vegas,NV,4,2.0
7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,North Olmsted,OH,8,4.0
qJeSjOMgWB3er3UXG33ZVw,Carl's Jr,Calgary,AB,6,3.5
gyFYZV4b_9TxG1ulQNi0Ig,Paramount Fine Foods,Toronto,ON,40,2.0
OezwOIJ0_62Mj8MLdkGRAw,Aroma Espresso Bar,Toronto,ON,6,3.5
0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,Hudson,OH,12,3.5
aql8K6zVoJDGRJ3P-IgtpQ,Ume Fashion Sushi,Toronto,ON,25,4.5
Kxbn0XLcCgQqmkdIkhuOeQ,Not Your Mother,Toronto,ON,8,4.0
ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,Phoenix,AZ,14,3.0
bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,Las Vegas,NV,3,2.0
1HRSElW1HgBiTtSNrhjMeA,Fine Asian Bowl,Toronto,ON,4,2.0
r8764MtYyt8JhxMvrfM_xQ,Vintage 95,Chandler,AZ,320,4.0
L0aSDVHNXCl6sY4cfZQ-5Q,Mai Thai II,Concord,NC,108,4.0
voZnDQs6Hs3YpNcS-9TALg,New Mexican Grill,Chandler,AZ,84,4.0
t-6tdxRaz7s9a0sf94Tguw,Impressionz,Pittsburgh,PA,29,4.5
WlArCYe6xCzOe5u2Lt1how,Domino's Pizza,Etobicoke,ON,5,3.0
jScBTQtdAt-8RshaiBEHgw,Served,Henderson,NV,664,4.5
U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,Charlotte,NC,380,4.0
c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,Toronto,ON,332,4.5
nsNONDHbV7Vudqh21uicqw,Salt Cellar,Scottsdale,AZ,526,3.5
jwHtNvHBPafiAwM92jM8yA,Little Caesars Pizza,Whitchurch-Stouffville,ON,3,4.0
SvUvVEr9cTjS-PJQ9MuckQ,Caffeine,Toronto,ON,30,4.5
IgQ8lSds3AgLFQsYsshUHQ,Gourmet Gringos,Toronto,ON,29,3.5
v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,Las Vegas,NV,3,4.5
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,Las Vegas,NV,535,3.5
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,Las Vegas,NV,287,3.0
5WMIvoMx3l1vn1uJ3HZB6Q,Subway,Pittsburgh,PA,3,3.0
T_tnCsUQmqTMEI3XxJAyOA,Howlers Craft Burgers & Beer,Gastonia,NC,30,3.5
spi9UEWyNrq2O4y5DD84LA,Restaurant Nhu Y,Montr̩al,QC,11,4.0
Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,Phoenix,AZ,9,3.0
