business_id,name,city,state,review_count,stars
c06xDgPtZDKsI-w0Z_eujg,Juan's Flaming Fajitas and Cantina,Henderson,NV,116,5.0
iFrOVn0-f9VlYRMaRwBNRw,Boston Pizza,Toronto,ON,21,2.5
-uRn5Hf1uo4vf3UTtOvIfA,Don Tortaco Mexican Grill,Las Vegas,NV,42,3.0
gZ4VtOCDgK5jkPoE79RVEg,L'Atelier d'Argentine,Montr̩al,QC,86,3.5
H7z0JH-i_KqhrsZhEDBpVA,Dominion Pub and Kitchen,Toronto,ON,40,3.5
gvp4HXkcdlqkLZd83qxZpg,Rudy's Subs McMurray,McMurray,PA,26,4.5
Jur1iiejUFw_YCkfDfy1gQ,Orchids Garden Chinese Restaurant,Las Vegas,NV,884,3.5
so5zDDBvYTMjqpd0Tb8yqw,Amazing Wok,Charlotte,NC,34,3.5
FkW_GaYtciVJPsHClk30zA,Sumo Boy Sushi and Teriyaki House,Mentor,OH,38,3.5
WxtjFPaPK1WGBHGQhq2bBA,Eastfield Bar & Grill,Charlotte,NC,92,3.5
aFBCmJUYrPeol_P75QX7Jw,Fraticelli's Authentic Italian Grill,Richmond Hill,ON,98,3.0
l7Bab_ySoDlB-dxo6YVZXg,Pick N' Roll,Scottsdale,AZ,47,5.0
c5TOGBUCCUUNBPM7h_KbmQ,Fausto's Mexican Grill,Las Vegas,NV,158,4.0
Wrd9LAbc8IOoAS5H6uw9sw,Delhi Palace Cuisine of India,Tempe,AZ,224,3.5
dnBQZpWTyJzTe0QJf7YK5w,Harvey's Wineburger,Phoenix,AZ,279,4.0
-UBoEaluaCReqxLRiAxVPg,The Coffee Bar,Toronto,ON,71,4.0
AZdivItCJCjjc_H72dQLMA,Maskadores Taco Shop,Phoenix,AZ,29,4.5
gqdqnFg2lYeSyS20q2ZK_Q,SUZUYA Patisserie,Las Vegas,NV,502,4.5
uxm2CPgLbs98s9OGPu5gXg,Five Guys,Middleburg Heights,OH,23,4.0
s0GeAnaUENWb2xAn_6EX-Q,Caf̩ Frida,Montr̩al,QC,50,4.5
hvPRcuQ-g-4lT2iWbVezrQ,Fresh Burger,Vaughan,ON,27,4.0
NSczJ__vKw09JGWJ-Q9CjQ,Siracha Lounge,Chandler,AZ,24,3.5
1ZnVfS-qP19upP_fwOhZsA,Big Wong Restaurant,Las Vegas,NV,949,4.0
aZgOdGn3O_fP2OUr5ATqiw,Steep & Brew,Madison,WI,55,4.0
tz1kE1IBPehYzDg4BtyD1g,The Bulging Burger,Toronto,ON,29,4.5
gqjUOwxbj6wt-2SO5fGRPw,Peoria Cafe,Peoria,AZ,170,4.0
k5pA0N9K2zy5OQZSqeC0jQ,Burgerim,Las Vegas,NV,172,3.5
bXlxtPXHeUy8GnTBspyWVA,NYPD Pizza,Glendale,AZ,49,4.0
nK7JeIqdBli3umEhBIh33g,Lucio Ristorante,Las Vegas,NV,32,4.0
TgTiw8lMYoRNreSeYN9qWg,The Coffee Press,Henderson,NV,49,4.5
qE9yIXn2GQb2-4a_qOOKzg,McDonald's,Las Vegas,NV,75,1.5
IEqtZj1OLEAwkXlrW-OqDg,Zoup!,Middleton,WI,36,3.5
LSanOnVnsJPF-61oKsGXmA,Domino's Pizza,Chandler,AZ,26,2.0
B198jEItQSF7xQhRADUW6Q,Taco Bell,Phoenix,AZ,22,3.5
8-TNEb-PLPvOiispcIrzUA,Egg N' Joe,Chandler,AZ,148,4.5
Mypk1XBD6PQ77zLXyMiKhg,Ahipoki - Phoenix,Phoenix,AZ,92,4.0
L0efPRMk5nO99cJ3yj7Pvw,Rocco's Famous Philly,Mesa,AZ,38,2.5
o0CSAXG2N7zYJW1AlZoKAQ,Smoke's Poutinerie,Toronto,ON,28,3.5
eI1ZHGOr2Pus842KrZD5ZQ,Casa Imperial Fine Chinese Cuisine,Scarborough,ON,189,3.5
rkH_CkTZBKOv2q0kAq5M_A,House of Blues Restaurant & Bar,Las Vegas,NV,195,4.0
UB-xdWV_RpIQ9VfVB3WUTA,Nevada Chicken Cafe,Las Vegas,NV,84,4.0
5WOE18ldtQ1U0MK5fN2HGQ,Rubio's Coastal Grill,Las Vegas,NV,61,4.0
aO1gAp41n8w8zpxTiHdLNA,Mert's Heart & Soul,Charlotte,NC,894,3.5
QxngAo1AnfcihXqdk3IA-g,Dundas Spring Garden,Toronto,ON,24,2.5
8klKfy9tK0ySi1l_ajOR5w,Aroma Espresso Bar,Toronto,ON,26,3.0
x4ZC3VMZCuI0y31yGfxG-g,Rockwood,Montr̩al,QC,25,3.0
NEYMAeK1BeR2E_vELnEIDA,Quantum Coffee,Toronto,ON,163,4.0
l_B0JtF2UraFqhDpp5go0Q,Corner Bakery Cafe,Tempe,AZ,39,4.0
V94gk_Vx0Ot623UGHG6PrA,The Salted Lime,North Las Vegas,NV,150,3.0
6rFjfFSavabsIxEKuWdk5w,Metro Diner,Matthews,NC,234,4.0
pYu6GDIfdK1RfwgUKeeDYg,Capriotti's Sandwich Shop,Las Vegas,NV,73,3.0
DPpi9r4FGuR6WfeqQKL4Nw,Aladdin's Eatery,Cuyahoga Falls,OH,47,4.0
j1i7s55PmOFzJC3l6O8PiA,Hong Kong Station,Madison,WI,46,3.5
uChTCA6MsLAciDRklpO-Fw,Makkal Chon,Toronto,ON,275,4.0
wmK4Df-3BD8l_fbxzqfgIw,Little Lebanon,Calgary,AB,65,4.5
a8uQhqCsy_CA74HqNBOuUA,Baja Soul Taqueria,Huntersville,NC,29,3.5
tuuLbdfNsW8YRkwk5Rzavg,Dillon's Grand,Surprise,AZ,24,3.5
Og5H4u0poGiWaWj3UlQRLw,Ghazale,Toronto,ON,29,3.5
hgCpzHx5IGvLRzMdFGWl6w,Pho Vietnamese Delight,North York,ON,46,3.0
Sn4P9faQE6wZvK-WI4fRHg,TGI Friday's,Phoenix,AZ,91,2.5
yC4PR3LFCubwfcY_xKKomw,Urban Herbivore,Toronto,ON,158,3.5
galEX_f54SIuh_BdzURK4A,Osteria De Medici,Calgary,AB,38,2.5
s-aGceIVH-XrIWdC4Jkbeg,Hola Tapas Bar,Toronto,ON,24,4.0
sZ3AWH6WPq38fEKijvl9vA,Express Pizza,Las Vegas,NV,49,3.0
clZe2m5wDeZsBsGnTnX4Gg,Ranu Thai Cuisine,Etobicoke,ON,32,4.0
y3EkxHO-qPODtzs_D6E7Rw,Pearl Ocean,Las Vegas,NV,179,4.0
ho-zNUuGbL8qosTxer5Huw,Hibachibot Korean BBQ,Carefree,AZ,26,3.5
U-Uj13i0RkwgZ8e7I4Lf8w,Original Chicken Tender,Las Vegas,NV,31,3.5
3ZHyw0d8mk0HOEP7v4fW1A,Krung Thai Restaurant,Las Vegas,NV,230,4.0
U9HhVS9rtYAYh4ZVcWWIbg,My Camille's,Charlotte,NC,32,4.0
e-cxqDjKEHEcISP2iGcZxg,Blue Martini Lounge,Phoenix,AZ,351,3.5
NJEVl4DcjpwrQ9YpBitSog,Lazeez Shawarma,Mississauga,ON,49,3.0
YNpwfdqBeP6j8aFrJp2sQw,Sweet Esc,Markham,ON,177,3.5
JXj3X8RMmVikVZGSWmh7ww,Block Bistro,Huntersville,NC,113,4.0
fL2vdjn-ApNcsVntxtg4Dg,Fiesta Henderson,Henderson,NV,292,2.5
siHpyAfAnoBMPpl9d_ib3A,Eat'n Park,Bethel Park,PA,26,2.5
LpGCzgAKNSpzDNEUMVVtZA,Grimaldi's Pizzeria,Las Vegas,NV,554,4.0
G3qjKFza3XCwW7tFRjim8w,Burgers Amore,Phoenix,AZ,54,3.5
lveadz48Q0_ke_p80D2rhg,ISLA Mexican Kitchen & Tequila Bar,Las Vegas,NV,207,4.0
